id,first_name,last_name,date_of_birth,country,married,job,income_in_year,total_property_cost
387,Joseph,Franco,26,Poland,False,"Engineer, drilling",102613$,870066$
388,Melissa,Smith,39,United Kingdom,True,Lobbyist,138191$,728596$
389,Nancy,Rogers,47,Germany,True,"Psychologist, sport and exercise",84854$,2132109$
390,Justin,Ford,55,Spain,True,Estate agent,75621$,627480$
391,Angelica,Galvan,34,Poland,False,Operational researcher,84787$,1633104$
392,Brandon,Coleman,49,United Kingdom,False,"Librarian, academic",122251$,535430$
393,Cody,Young,75,Italy,False,Air cabin crew,99901$,1464084$
394,William,Johnston,32,France,True,Colour technologist,87792$,1641625$
395,Patricia,Washington,38,Germany,True,"Accountant, chartered certified",137136$,2126608$
396,Lori,Moody,60,Spain,True,"Education officer, museum",59040$,809568$
397,Shelia,Pacheco,35,France,False,Financial trader,101247$,1052970$
398,Leah,Holland,40,France,True,Lawyer,98761$,1052964$
399,Heather,Kennedy,38,France,False,Magazine features editor,105198$,1386238$
400,Christopher,Wilson,31,Spain,True,Higher education careers adviser,79486$,2001050$
401,Maureen,Underwood,40,Germany,True,Broadcast engineer,71229$,2302425$
402,Jessica,Campos,60,United Kingdom,True,Magazine features editor,68289$,337340$
403,Kelly,Rhodes,52,Germany,True,"Engineer, building services",78074$,1643679$
404,Suzanne,Fowler,70,France,False,"Administrator, local government",80323$,1011231$
405,Kellie,Lopez,57,United Kingdom,True,"Engineer, structural",63326$,1047234$
406,Marco,Warren,23,United Kingdom,True,"Therapist, speech and language",78496$,1916546$
407,Michael,Bell,68,United Kingdom,False,Social researcher,109962$,1244633$
408,Omar,Church,48,Spain,False,Broadcast presenter,57052$,1169440$
409,Sarah,Johnson,33,Spain,True,Lobbyist,64657$,3103775$
410,Donald,Ramirez,75,Spain,False,Pharmacologist,102698$,529068$
411,Robert,Daniels,46,United Kingdom,False,Fish farm manager,108028$,542718$
412,Peggy,Williams,75,Spain,True,Social worker,84009$,3438350$
413,Elizabeth,Smith,69,France,True,Landscape architect,66610$,1528368$
414,Regina,Ali,33,Poland,True,Cabin crew,113864$,1839816$
415,Darren,Barnes,52,Italy,True,Advertising copywriter,84771$,681422$
416,George,Holt,42,Spain,True,Geophysical data processor,61086$,1142025$
417,Timothy,Harvey,60,France,False,Quantity surveyor,89305$,1812096$
418,Keith,Johnson,55,Italy,True,Catering manager,102236$,2640875$
419,Dawn,Ritter,73,Poland,False,Actuary,110605$,1591687$
420,Gina,Hernandez,77,Spain,True,"Designer, textile",150899$,802550$
421,Sherry,Daniel,24,Spain,False,Theatre stage manager,101166$,523232$
422,Melissa,Levy,19,France,True,Dramatherapist,70579$,1079960$
423,Jennifer,Vasquez,45,Italy,True,"Engineer, site",46063$,1658664$
424,Kevin,Anderson,65,Spain,True,Statistician,115522$,909472$
425,Dennis,Robinson,68,Italy,False,Firefighter,99386$,2267738$
426,Rachel,Norris,49,United Kingdom,True,Merchant navy officer,53624$,452280$
427,Jessica,Cox,44,United Kingdom,False,Musician,101030$,997906$
428,Michael,Richardson,30,France,False,"Engineer, agricultural",87821$,1950224$
429,Dustin,Forbes,30,France,True,"Administrator, education",130282$,911070$
430,John,Griffin,51,Spain,True,"Restaurant manager, fast food",82231$,1034523$
431,Matthew,Duncan,19,France,True,Race relations officer,86450$,488600$
432,Kimberly,Cooper,54,Spain,False,Oncologist,96430$,1021302$
433,James,Torres,23,Spain,True,Phytotherapist,102166$,2493656$
434,Mary,Zuniga,67,France,False,Music therapist,57039$,1494288$
435,Christopher,Herrera,74,Italy,True,Museum/gallery conservator,70499$,2206494$
436,Deanna,Garrett,75,Poland,True,Neurosurgeon,57665$,1512990$
437,Toni,Grant,38,Germany,True,Surgeon,87523$,514703$
438,Joseph,Cobb,29,Poland,False,Podiatrist,95949$,1748739$
439,Todd,Hudson,37,Spain,True,Hydrographic surveyor,115662$,612255$
440,Stephanie,Nunez,26,Spain,True,Amenity horticulturist,69717$,871830$
441,David,Gomez,55,Poland,False,Consulting civil engineer,108710$,675966$
442,Michael,Garcia,42,Spain,False,Special educational needs teacher,78817$,2960376$
443,Amy,Warren,50,United Kingdom,True,Mining engineer,64801$,2545825$
444,Janet,Estrada,37,United Kingdom,True,Ceramics designer,55050$,1306630$
445,Sarah,Guerrero,65,Poland,False,"Scientist, marine",128407$,968590$
446,Bryan,Steele,56,Poland,True,"Psychologist, educational",93810$,1393154$
447,Sarah,Hale,27,United Kingdom,False,Location manager,97028$,2971656$
448,Zachary,Boone,19,Spain,True,unemployed,63043$,1310380$
449,Kendra,Myers,37,Germany,True,"Surveyor, hydrographic",54317$,1661024$
450,Rebecca,Parker,57,Germany,True,"Conservator, furniture",89755$,754816$
451,Patricia,Jensen,42,United Kingdom,False,Biomedical scientist,111586$,604725$
452,Timothy,Gibson,79,Germany,True,"Accountant, chartered",60247$,1402488$
453,Joanne,Smith,76,Germany,True,IT sales professional,65956$,2602392$
454,Christopher,Diaz,19,Spain,False,Technical brewer,90177$,2033766$
455,Michael,Walker,57,United Kingdom,False,"Administrator, arts",63631$,804464$
456,Crystal,Wallace,49,United Kingdom,True,"Engineer, maintenance (IT)",104845$,820631$
457,Tony,Garcia,70,Italy,True,"Psychologist, sport and exercise",110720$,969930$
458,Sherry,Lopez,33,Spain,True,Biomedical scientist,94126$,376542$
459,Jose,Ryan,46,Italy,True,"Engineer, building services",85902$,1033056$
460,Jacob,Golden,31,United Kingdom,False,Event organiser,91416$,1684800$
461,Andrew,Hernandez,67,Poland,True,"Nurse, children's",95081$,939367$
462,Brian,Carroll,65,Spain,True,Armed forces logistics/support/administrative officer,86272$,2138701$
463,Jason,Strickland,25,France,True,Osteopath,126414$,998760$
464,Andrew,Ross,36,Italy,False,Industrial/product designer,64485$,1393262$
465,Christopher,Schultz,66,Italy,False,Ophthalmologist,88781$,1366656$
466,Linda,Davis,64,Poland,True,Chartered management accountant,53582$,1587240$
467,Julia,Carlson,59,Spain,True,Freight forwarder,71718$,168765$
468,Ronnie,Dennis,65,Germany,False,Quantity surveyor,90992$,1309373$
469,Jacob,Durham,76,United Kingdom,False,Broadcast presenter,68150$,2265606$
470,Stanley,Davis,68,Poland,True,Community arts worker,88537$,1479136$
471,Kelly,Wilson,23,Poland,True,"Designer, jewellery",77507$,1324080$
472,Lauren,Lopez,66,France,True,unemployed,99862$,940852$
473,Frank,Price,60,Germany,True,Music therapist,116366$,1710556$
474,Lisa,Robinson,74,Italy,True,Chemical engineer,95584$,2312560$
475,Jeff,Fox,38,Spain,True,IT technical support officer,51274$,1295406$
476,Donald,Hester,49,Spain,True,Charity officer,107006$,2067350$
477,Andrea,Moran,66,Italy,True,Ophthalmologist,124081$,1485021$
478,Amanda,Martin,40,France,False,Mudlogger,104289$,722120$
479,Hannah,Moody,32,Spain,True,unemployed,115293$,1730460$
480,Lisa,Clay,34,United Kingdom,True,"Geologist, wellsite",96373$,1191624$
481,Richard,Flores,50,France,True,Make,141308$,1474788$
482,Andrew,Garcia,28,Poland,False,Medical laboratory scientific officer,104689$,1404400$
483,Steven,Mcbride,58,France,False,Insurance underwriter,101835$,1660662$
484,Gregory,Zimmerman,43,United Kingdom,False,Higher education careers adviser,74687$,948255$
485,Deborah,Solis,77,Germany,False,Furniture designer,108680$,1280412$
486,Charles,Harris,44,France,True,"Education officer, community",80231$,1040925$
487,Christina,Nelson,26,France,True,Data scientist,80325$,2877227$
488,Matthew,Hensley,30,Germany,True,"Production assistant, television",63748$,748660$
489,Martha,Baker,23,United Kingdom,True,"Education officer, environmental",78495$,898106$
490,Natasha,Calderon,78,Spain,False,Early years teacher,120847$,1921742$
491,Brittney,Mccormick,64,Italy,True,Actor,100122$,761076$
492,Jeffrey,Perry,74,Germany,True,unemployed,89118$,822444$
493,Angel,Ayers,19,United Kingdom,True,Health and safety adviser,80797$,493974$
494,Erica,Hammond,38,Poland,False,Broadcast journalist,102396$,1451265$
495,Misty,Walsh,46,Poland,True,Recycling officer,54888$,822430$
496,Anna,Dickerson,46,Spain,True,Health service manager,114557$,977436$
497,Dale,Howard,21,Spain,False,Animator,76037$,632045$
498,Ana,Ramirez,27,Italy,True,"Conservation officer, nature",83050$,1351480$
499,Eugene,Hernandez,79,United Kingdom,True,"Programme researcher, broadcasting/film/video",62915$,1341525$
500,Robert,Ryan,75,Poland,True,"Civil engineer, consulting",110246$,2128056$
501,Lindsey,Vazquez,34,United Kingdom,False,"Programme researcher, broadcasting/film/video",87028$,1955112$
502,Lisa,White,26,United Kingdom,False,"Physicist, medical",55385$,1826944$
503,Misty,Russell,58,United Kingdom,True,"Sales professional, IT",75461$,506835$
504,Jessica,Powers,39,Germany,False,Catering manager,73985$,917686$
505,Deanna,Gardner,46,Poland,True,Environmental health practitioner,78629$,1622358$
506,Bonnie,Rivera,34,Germany,True,Homeopath,73112$,1024956$
507,John,Fisher,37,France,False,"Conservation officer, historic buildings",65008$,1529220$
508,Colleen,Young,73,Germany,True,General practice doctor,71048$,527826$
509,Sydney,Olson,22,Germany,True,Research scientist (life sciences),118949$,1848280$
510,Christian,Brown,80,France,True,Operational researcher,42885$,1890620$
511,Randall,Mccarty,34,United Kingdom,False,Technical author,83609$,1601928$
512,Katherine,Padilla,23,Italy,True,Best boy,86434$,2196600$
513,Ryan,Dawson,76,Italy,True,Patent attorney,84363$,866670$
514,Christopher,Hardin,29,Italy,True,unemployed,64784$,1615350$
515,Jose,Hall,76,Italy,True,Optometrist,81395$,1319197$
516,Allen,Jordan,72,Germany,True,"Designer, textile",80310$,1115224$
517,Margaret,Byrd,41,United Kingdom,False,Chiropodist,83729$,465857$
518,Michelle,Baker,32,Poland,True,Agricultural engineer,58741$,1543032$
519,James,Dougherty,75,Germany,False,Outdoor activities/education manager,71362$,1476661$
520,Keith,Walter,47,Poland,True,Aid worker,111863$,1119939$
521,Crystal,Johnson,71,Poland,True,Video editor,97024$,2573750$
522,Daniel,Vargas,71,Germany,True,Futures trader,62676$,2351040$
523,Ashley,Martin,57,Poland,False,Restaurant manager,67242$,1097085$
524,Maria,White,68,Germany,True,"Lecturer, further education",115395$,2493446$
525,Larry,Nichols,30,United Kingdom,False,Horticultural consultant,94854$,1513548$
526,Elizabeth,Sanford,29,Italy,False,Archivist,89190$,1058856$
527,Julia,Russell,71,United Kingdom,False,Public affairs consultant,54922$,752240$
528,Elizabeth,Lopez,44,France,False,Research scientist (maths),100606$,2733900$
529,Brian,Thornton,63,Spain,False,Art gallery manager,111599$,1823602$
530,Stephen,Jacobs,29,Italy,True,Food technologist,114621$,578691$
531,Joshua,Chavez,53,France,True,Clinical biochemist,131895$,1334294$
532,Stephanie,Baker,31,Poland,False,Diplomatic Services operational officer,101867$,1852840$
533,Mark,Lewis,63,Spain,False,"Psychologist, forensic",67004$,566826$
534,Jerry,Walters,34,Poland,True,"Scientist, marine",79422$,833250$
535,Kimberly,Edwards,32,Spain,False,Volunteer coordinator,65264$,913200$
536,Beverly,Taylor,21,United Kingdom,False,Biomedical scientist,115486$,885192$
537,Lisa,Reynolds,62,Poland,True,Financial trader,83322$,1274895$
538,Carl,Hicks,19,France,True,Airline pilot,105328$,698112$
539,Michael,Burton,39,Italy,False,Best boy,91539$,1583140$
540,Nathaniel,Walker,26,Germany,False,Chartered legal executive (England and Wales),51237$,641580$
541,Cory,Anderson,53,France,True,Interior and spatial designer,101543$,361120$
542,Marco,Brooks,49,Poland,False,Chief of Staff,73242$,1331918$
543,Donna,Atkins,74,Poland,True,"Therapist, nutritional",66312$,1723446$
544,Blake,Wilson,61,Spain,True,Politician's assistant,74741$,1374612$
545,Christina,Bauer,61,Germany,True,Sports administrator,89295$,1683172$
546,John,Mcintosh,73,France,True,"Teacher, early years/pre",78921$,1115053$
547,Courtney,Gross,48,France,True,Photographer,108511$,710048$
548,Anna,Guerrero,24,Spain,False,"Runner, broadcasting/film/video",114300$,815310$
549,Cynthia,Johnson,58,Poland,True,"Teacher, English as a foreign language",105877$,488448$
550,John,Gallagher,55,Poland,True,Stage manager,73634$,1141558$
551,Ethan,Gardner,35,Italy,False,Multimedia specialist,88528$,1207116$
552,Cynthia,Hess,76,Spain,False,Ambulance person,98310$,558530$
553,Lisa,Warren,32,Italy,False,"Teacher, music",95789$,1208830$
554,Holly,Rios,54,Spain,True,Fisheries officer,75374$,1532076$
555,Douglas,Wells,45,France,True,Early years teacher,48639$,2939952$
556,Richard,Brown,73,Spain,True,"Designer, interior/spatial",85518$,1919826$
557,William,Davis,26,Italy,True,Mechanical engineer,128536$,2535025$
558,Steven,Oliver,57,Italy,False,Financial adviser,61109$,2197380$
559,Michael,Dominguez,30,United Kingdom,True,"Psychologist, educational",57565$,1590768$
560,Lisa,Myers,24,France,False,Nature conservation officer,110313$,2046356$
561,Heather,Long,24,Spain,True,Press sub,70200$,1007630$
562,Lindsey,Rhodes,21,United Kingdom,False,Publishing copy,91954$,2325391$
563,Julie,Martinez,43,United Kingdom,True,Building surveyor,101665$,2105627$
564,Shannon,Garner,53,France,True,Advertising account planner,82198$,408210$
565,Abigail,Hill,43,France,True,"Civil engineer, consulting",100129$,968424$
566,Judy,Hansen,24,Italy,False,Wellsite geologist,93582$,1695807$
567,Richard,Smith,49,Spain,True,Museum/gallery curator,98192$,1258660$
568,Duane,Garcia,27,Spain,True,unemployed,94361$,1641401$
569,Alec,Garcia,44,Poland,False,Landscape architect,66005$,831080$
570,Nancy,Roberts,34,Germany,True,Volunteer coordinator,18094$,1050318$
571,Rodney,Young,59,United Kingdom,True,Contractor,131103$,1457872$
572,John,Reed,33,United Kingdom,False,Occupational therapist,73393$,1790180$
573,Pamela,Hale,26,France,False,Colour technologist,92352$,1940160$
574,Laurie,Johnson,29,Italy,False,Midwife,63196$,777432$
575,Andrew,Smith,47,Spain,True,Legal secretary,112242$,2099200$
576,Amanda,Lloyd,59,Italy,False,Chiropodist,68059$,2037640$
577,Alicia,Valenzuela,73,France,True,Chief Strategy Officer,80083$,1096898$
578,Roger,Perkins,43,United Kingdom,False,"Engineer, communications",98584$,495270$
579,Sara,Burke,37,Poland,True,Electronics engineer,100362$,870584$
580,Angelica,Gilbert,21,United Kingdom,False,"Engineer, land",71609$,2125454$
581,Tammie,Duffy,75,Spain,True,Retail manager,75633$,2286672$
582,Amy,Taylor,58,Italy,False,Nature conservation officer,83650$,949424$
583,Ruben,Sutton,25,Poland,True,Garment/textile technologist,84975$,424200$
584,Jorge,Cohen,35,United Kingdom,True,"Development worker, community",70778$,1667175$
585,Daniel,Miller,20,Italy,True,"Engineer, communications",93455$,2514168$
586,Nicole,Berry,47,Italy,False,Occupational therapist,104880$,785532$
587,Tammy,Wright,75,Spain,True,"Designer, multimedia",127459$,1153230$
588,Matthew,Lucas,26,France,True,Firefighter,35808$,1316322$
589,Mark,Zimmerman,48,France,True,Herpetologist,119836$,905648$
590,Heather,Gilbert,71,France,True,"Therapist, drama",105779$,1233115$
591,Teresa,Anderson,27,Poland,True,Translator,68934$,1763275$
592,Dillon,Rhodes,70,Germany,True,Naval architect,66982$,662067$
593,David,Kim,21,Spain,True,Music therapist,68760$,845968$
594,Michael,Rodriguez,55,United Kingdom,False,Theatre director,70271$,1414853$
595,Alexander,Jackson,74,United Kingdom,True,Music therapist,87531$,1467975$
596,Julie,Rich,33,Italy,False,"Administrator, local government",72817$,1967250$
597,Diana,Stewart,57,United Kingdom,True,Leisure centre manager,87718$,1699920$
598,Victoria,Espinoza,79,Italy,False,"Accountant, chartered management",64351$,997469$
599,Leslie,Molina,35,Poland,True,Biomedical scientist,81521$,1335760$
600,Frederick,Clark,62,Germany,True,Catering manager,100703$,1009385$
601,James,Miles,46,Poland,True,Chartered certified accountant,96036$,1477188$
602,Greg,Garcia,65,Germany,True,Clinical molecular geneticist,75445$,585828$
603,Cassandra,Owen,74,Italy,False,"Accountant, chartered public finance",100652$,1262196$
604,Donna,Pope,40,Germany,False,Operational investment banker,85380$,2158820$
605,Vincent,Guerra,42,Italy,True,Chartered certified accountant,99240$,1002192$
606,Adam,Colon,42,Germany,True,Retail merchandiser,114612$,870507$
607,Lisa,Singleton,19,Poland,False,"Engineer, building services",113242$,1324188$
608,Cynthia,Barajas,47,United Kingdom,True,Psychiatric nurse,109651$,481758$
609,Alexandra,Barnes,27,Germany,True,Firefighter,89954$,1055175$
610,Caroline,Bernard,47,United Kingdom,True,Furniture designer,113575$,933867$
611,Veronica,Lynch,73,Spain,True,Chiropodist,97229$,2084150$
612,Brian,Rodriguez,47,France,False,"Therapist, occupational",74982$,550805$
613,Juan,Brown,20,Italy,True,Health physicist,92738$,1393473$
614,Stephanie,Nunez,37,Spain,False,"Scientist, research (life sciences)",80817$,637660$
615,Michael,Lloyd,58,United Kingdom,False,Training and development officer,102051$,503435$
616,David,Contreras,44,Poland,False,Technical sales engineer,77962$,970875$
617,Danny,Nelson,31,United Kingdom,True,Careers adviser,79336$,1195992$
618,Tracy,Fox,19,United Kingdom,True,Risk manager,109825$,1473237$
619,Christy,Lee,60,Spain,True,"Secretary, company",106507$,428202$
620,Samantha,Moore,78,Italy,True,Environmental manager,98266$,2206304$
621,Brett,Mcconnell,47,United Kingdom,True,Hospital pharmacist,52851$,617975$
622,Wendy,Cooper,51,Italy,True,"Psychologist, forensic",94670$,807500$
623,Heather,Browning,74,United Kingdom,True,Quality manager,78105$,2105158$
624,Michael,Kelly,49,Poland,False,Newspaper journalist,64843$,1688922$
625,Tyrone,Turner,57,Poland,False,Firefighter,90128$,1482080$
626,Patricia,Smith,74,United Kingdom,False,Amenity horticulturist,122848$,390440$
627,Charles,Anderson,66,Poland,False,Clinical molecular geneticist,101604$,2261952$
628,Michael,Castillo,40,United Kingdom,False,"Surveyor, minerals",75419$,1289244$
629,Edward,Hutchinson,32,Germany,True,Regulatory affairs officer,110450$,548025$
630,Michelle,Maxwell,24,France,False,"Surveyor, land/geomatics",67555$,867924$
631,Jose,Cook,42,Spain,True,Pathologist,75071$,1031371$
632,Michael,Shannon,80,United Kingdom,True,Systems developer,83730$,859476$
633,Christopher,Estes,67,Spain,False,Television camera operator,86807$,2087740$
634,Cody,Romero,61,Spain,True,"Development worker, community",84501$,326928$
635,Dominic,Fox,73,United Kingdom,False,Airline pilot,76638$,1086315$
636,Alexander,Fox,73,Italy,True,"Scientist, physiological",78320$,1414218$
637,Kristin,Parker,66,Italy,True,"Engineer, technical sales",124128$,1130304$
638,Joshua,Owen,73,Germany,True,"Therapist, sports",102221$,1363432$
639,Benjamin,Richardson,66,United Kingdom,False,Chartered legal executive (England and Wales),122925$,315845$
640,Jamie,Mccann,30,Spain,False,"Nurse, learning disability",95802$,1178877$
641,Thomas,Turner,67,United Kingdom,True,Mechanical engineer,56760$,1167265$
642,Stacy,Young,80,Spain,True,Heritage manager,73612$,1010568$
643,Daniel,Jones,23,Poland,True,English as a foreign language teacher,92489$,972800$
644,Sara,Randolph,29,Italy,False,"Horticulturist, commercial",87835$,1101330$
645,Cynthia,Summers,26,Spain,False,"Engineer, biomedical",120858$,924210$
646,Brian,Wilson,32,Italy,True,"Production assistant, radio",116002$,561876$
647,Monica,Lam,28,Italy,False,Furniture designer,105801$,1207965$
648,Timothy,Trevino,68,France,True,Forensic scientist,132431$,1681380$
649,Amber,Marks,74,Spain,False,Physiological scientist,109408$,1404108$
650,Erin,Graves,27,Poland,True,"Buyer, retail",97020$,1976976$
651,Jennifer,Mays,62,Germany,False,Financial planner,60817$,441850$
652,Troy,Johnson,56,Germany,True,"Pharmacist, hospital",93884$,1429410$
653,Kenneth,Bell,42,Italy,True,Ophthalmologist,82965$,486475$
654,Jason,Pratt,34,Italy,False,Waste management officer,81993$,2075256$
655,Cory,Smith,73,Germany,True,Homeopath,89684$,1006797$
656,Norman,Walker,43,United Kingdom,False,Contracting civil engineer,96968$,1968472$
657,Brenda,Howard,50,France,False,Accommodation manager,96333$,306460$
658,Pamela,Brown,31,Germany,False,Ceramics designer,89504$,3154030$
659,Leslie,Adams,42,France,True,Ship broker,74459$,1125675$
660,Timothy,Swanson,47,United Kingdom,True,Restaurant manager,143493$,1160445$
661,Jason,Lewis,27,Spain,True,Legal executive,55667$,555678$
662,Steven,Davis,41,Spain,False,Landscape architect,89040$,1932525$
663,Michael,Moyer,57,France,True,Armed forces logistics/support/administrative officer,100101$,843430$
664,Angel,Moss,67,Germany,True,Camera operator,82748$,1523480$
665,Ana,Allison,54,Spain,True,Psychiatric nurse,98409$,801878$
666,Levi,Strickland,73,France,False,Contractor,70814$,1254150$
667,Derrick,Garcia,23,Spain,True,"Solicitor, Scotland",71716$,936738$
668,Roy,Bauer,70,France,True,Customer service manager,59447$,1084230$
669,Lori,Stevenson,63,France,True,Archaeologist,78079$,2861250$
670,Martin,Walker,63,France,True,Forensic scientist,97226$,1985571$
671,Karl,White,64,Spain,True,Technical brewer,112760$,2119572$
672,Jeffrey,Potter,57,Spain,False,Chemical engineer,111624$,1316420$
673,Karen,Moore,77,Germany,True,Clinical embryologist,97171$,1659114$
674,Caitlin,Goodwin,22,Italy,True,Minerals surveyor,139638$,1886115$
675,Micheal,Blair,52,Italy,False,Garment/textile technologist,87924$,1299840$
676,Nicholas,Tran,80,Spain,False,unemployed,75857$,1683726$
677,Carrie,Snyder,59,France,True,Forest/woodland manager,94956$,1185910$
678,Juan,Johnson,73,Poland,False,Soil scientist,75042$,1698905$
679,Gregory,Jordan,75,United Kingdom,True,Insurance broker,80018$,1104800$
680,Mary,Shaw,51,Italy,True,Actor,92395$,1057474$
681,James,Maynard,34,Poland,True,Sales executive,103119$,1401680$
682,Darlene,Jones,49,Germany,False,Special educational needs teacher,90415$,1505008$
683,Christopher,Mcintyre,70,Poland,True,Building control surveyor,125375$,800690$
684,Patricia,Barton,69,United Kingdom,True,General practice doctor,44444$,408010$
685,Katie,Armstrong,38,Italy,True,"Engineer, maintenance",104056$,916110$
686,Rebecca,Cook,64,France,True,"Physicist, medical",93620$,1834866$
687,Amanda,Shaffer,58,United Kingdom,True,Armed forces operational officer,126091$,1186590$
688,Timothy,Goodwin,34,United Kingdom,True,"Teacher, English as a foreign language",100978$,1149874$
689,Cassidy,Mays,76,United Kingdom,False,"Therapist, sports",116108$,2611375$
690,Gregory,Ingram,70,Poland,True,Purchasing manager,92759$,1721517$
691,Bradley,Green,65,Germany,True,Medical laboratory scientific officer,99817$,707676$
692,Jessica,Horne,45,Italy,False,Operational researcher,100658$,1239840$
693,Crystal,Sanders,19,Poland,False,Materials engineer,91071$,491895$
694,Lisa,Decker,66,Germany,True,Insurance underwriter,47638$,1767744$
695,James,Lewis,66,Spain,True,Sales promotion account executive,95130$,695023$
696,Lisa,Snyder,48,Poland,False,Education administrator,99842$,606960$
697,Amanda,Sanchez,56,Italy,True,Police officer,81786$,691760$
698,Jacob,Gray,32,Spain,True,Commercial horticulturist,60739$,805912$
699,Katelyn,Walters,34,Germany,True,Transport planner,118267$,1483335$
700,Noah,Stout,36,Poland,False,"Engineer, biomedical",104636$,1413588$
701,Allison,Coleman,23,Italy,True,Tour manager,58967$,893794$
702,Alan,Sosa,66,Poland,True,Licensed conveyancer,26457$,2197692$
703,Katie,Patel,69,Italy,False,Chartered certified accountant,107754$,1046100$
704,James,Miller,33,United Kingdom,False,unemployed,118053$,1865180$
705,Pamela,Price,52,Germany,False,Minerals surveyor,71930$,1657236$
706,Lindsey,Hammond,47,Spain,True,Health service manager,112883$,1662224$
707,Michael,Jones,27,Spain,True,"Clinical scientist, histocompatibility and immunogenetics",70196$,1449114$
708,Sandra,Campbell,31,United Kingdom,True,Financial trader,88165$,1247592$
709,Sarah,Strong,47,France,True,Dealer,107209$,868023$
710,Christopher,Leblanc,78,France,True,Best boy,101958$,2269854$
711,Rachel,Brown,21,Germany,False,"Biochemist, clinical",87692$,1458320$
712,Ryan,Graham,19,France,True,Sports coach,75478$,554463$
713,Erin,Evans,54,Germany,False,"Doctor, general practice",88380$,1407540$
714,Susan,Burke,19,Poland,True,Media planner,91605$,246340$
715,William,Castillo,74,Germany,True,Race relations officer,92193$,1536992$
716,Arthur,Bennett,67,United Kingdom,False,"Engineer, manufacturing",65998$,1894025$
717,Christopher,Johnson,64,Spain,True,"Journalist, magazine",59735$,2435180$
718,Hannah,Farmer,41,France,False,Photographer,73042$,2083416$
719,Laura,Gutierrez,66,Poland,False,Energy manager,77941$,711306$
720,Amber,Cook,64,Spain,False,Nature conservation officer,81898$,388020$
721,Allen,Novak,51,Spain,True,"Scientist, clinical (histocompatibility and immunogenetics)",62592$,1622880$
722,Jesse,Hernandez,27,Poland,False,Patent attorney,92068$,1225709$
723,Christopher,Wright,19,Poland,True,"Designer, interior/spatial",110978$,932192$
724,Theresa,Reese,34,United Kingdom,False,Neurosurgeon,92306$,509028$
725,Ann,Beltran,37,France,True,"Secretary, company",101281$,797712$
726,Timothy,Taylor,80,Spain,True,Ophthalmologist,105804$,2014041$
727,Julie,Brooks,75,Poland,False,"Designer, jewellery",87354$,1259118$
728,John,Smith,29,United Kingdom,True,Special educational needs teacher,64680$,1540104$
729,Carol,Baker,37,United Kingdom,True,Architectural technologist,84149$,2223846$
730,Jason,Gomez,29,France,True,Charity officer,62852$,877168$
731,Carrie,Green,69,United Kingdom,True,Chief Technology Officer,113696$,2630184$
732,Sandra,Frye,24,Germany,False,Prison officer,26105$,2164224$
733,Justin,Terry,58,Poland,True,Volunteer coordinator,103636$,1957494$
734,Eric,Kelley,26,France,False,Control and instrumentation engineer,73928$,903604$
735,Lauren,Wilson,78,Germany,True,Control and instrumentation engineer,91436$,467970$
736,Morgan,Zavala,29,Poland,False,Contractor,91067$,2413160$
737,Brittany,Munoz,61,United Kingdom,True,Energy engineer,58003$,2008383$
738,Susan,Evans,26,Poland,True,Oceanographer,97428$,1240187$
739,Derrick,Cook,69,Germany,True,"Surveyor, planning and development",82418$,3360116$
740,Jasmine,Thompson,31,United Kingdom,False,Building services engineer,72883$,889650$
741,Julia,Meyers,31,France,False,"Engineer, mining",105337$,370962$
742,Pamela,Lynn,40,United Kingdom,True,Water engineer,119135$,1915314$
743,Daniel,Mcdonald,66,Poland,True,unemployed,73429$,448686$
744,Sean,Hoffman,45,France,True,"Engineer, civil (consulting)",109488$,2165835$
745,Timothy,Williams,74,United Kingdom,False,"Social research officer, government",94444$,370071$
746,Eric,Estrada,40,Italy,False,Applications developer,100556$,714186$
747,Katherine,Kelly,24,Italy,True,Therapeutic radiographer,107231$,1021815$
748,Monica,Potter,44,Italy,True,unemployed,109029$,2368195$
749,Jason,Rodriguez,55,United Kingdom,True,Chartered legal executive (England and Wales),57649$,542295$
750,Andrew,Morales,61,United Kingdom,True,Building surveyor,59774$,1641626$
751,Marie,Lewis,58,Italy,True,Chemical engineer,101081$,952665$
752,Shannon,Bailey,36,France,True,"Surveyor, building control",99210$,829422$
753,Julie,Mclaughlin,64,Germany,False,"Lecturer, further education",70622$,2107292$
754,Ryan,Lowe,43,France,True,Software engineer,116721$,959180$
755,Brian,Moreno,47,Italy,True,Advertising account executive,112233$,1170320$
756,Robin,Watts,43,Spain,False,"Education officer, community",56498$,850184$
757,Daniel,Murphy,77,Germany,False,Adult nurse,71483$,1961256$
758,Daniel,Hernandez,74,Poland,False,Race relations officer,102371$,1152972$
759,Danielle,Mclaughlin,30,United Kingdom,False,"Scientist, biomedical",95366$,1700730$
760,Michael,Contreras,23,Italy,True,Chemical engineer,94460$,511320$
761,Brett,Schroeder,60,Spain,True,"Surveyor, hydrographic",102037$,1235526$
762,Melissa,Perry,43,Italy,False,Glass blower/designer,113306$,1361654$
763,Tonya,Weaver,52,France,True,"Engineer, civil (consulting)",72279$,433330$
764,Alexander,Townsend,33,Poland,True,Media planner,74732$,2313225$
765,Michael,Richardson,23,Germany,True,"Psychologist, counselling",75472$,815584$
766,Angela,Morris,53,Poland,True,Engineering geologist,106270$,680581$
